Nation,Continent,Acronym,O+,A+,B+,AB+,O-,A-,B-,AB-,p2,p4,p8,m,dm,dm15,R2
Argentina,SA,AR,45.4,34.26,8.59,2.64,8.4,0.44,0.21,0.06,0.917,0.679,0.635,0.196,0.011,0.029,0.98
Armenia,AS,AM,29.0,46.3,12.0,5.6,2.0,3.7,1.0,0.4,0.934,0.618,0.577,0.143,0.025,0.025,0.97
Australia,AS,AU,40.0,31.0,8.0,2.0,9.0,7.0,2.0,1.0,0.846,0.66,0.556,0.223,0.005,0.033,0.99
Austria,EU,AT,30.0,37.0,12.0,5.0,6.0,7.0,2.0,1.0,0.866,0.612,0.53,0.216,0.033,0.033,0.98
Bahrain,AS,BH,48.48,19.35,22.61,3.67,3.27,1.33,1.04,0.25,0.945,0.635,0.6,0.356,0.054,0.054,0.97
Bangladesh,AS,BD,29.45,26.01,33.66,8.29,0.95,0.67,0.7,0.27,0.975,0.553,0.539,0.245,0.008,0.037,1.0
Belgium,EU,BE,38.0,34.0,8.6,4.1,7.0,6.0,1.5,0.8,0.87,0.647,0.564,0.209,0.019,0.031,0.99
Bolivia,SA,BO,51.53,29.45,10.11,1.15,4.39,2.73,0.54,0.1,0.928,0.68,0.631,0.148,0.012,0.022,0.95
Bosnia and Herzegovina,EU,BA,31.0,36.0,12.0,6.0,5.0,7.0,2.0,1.0,0.872,0.609,0.53,0.152,0.01,0.023,0.99
Brazil,SA,BR,36.0,34.0,8.0,2.5,9.0,8.0,2.0,0.5,0.843,0.653,0.552,0.272,0.015,0.041,0.98
Bulgaria,EU,BG,28.0,37.0,13.0,7.0,5.0,7.0,2.0,1.0,0.872,0.6,0.524,0.063,0.038,0.038,0.97
Cameroon,AF,CM,42.8,38.8,12.0,3.3,1.4,1.2,0.4,0.1,0.97,0.636,0.617,0.4,0.059,0.06,0.95
Canada,EU,CA,39.0,36.0,7.6,2.5,7.0,6.0,1.4,0.5,0.873,0.661,0.578,0.25,0.016,0.037,0.96
Chile,SA,CL,85.5,8.7,3.35,1.0,1.2,0.1,0.05,0.1,0.986,0.877,0.865,0.411,0.034,0.062,0.97
China,AS,CN,47.7,27.8,18.9,5.0,0.28,0.19,0.1,0.03,0.994,0.62,0.617,0.419,0.069,0.069,1.0
Colombia,SA,CO,61.3,26.11,2.28,1.47,5.13,2.7,0.7,0.31,0.919,0.754,0.692,0.218,0.015,0.033,0.97
Croatia,EU,HR,29.0,36.0,15.0,5.0,5.0,6.0,3.0,1.0,0.872,0.588,0.513,0.159,0.017,0.024,0.99
Cuba,SA,CU,45.8,33.5,10.2,2.9,3.6,2.8,1.0,0.2,0.93,0.654,0.608,0.22,0.02,0.033,0.95
Czechia,EU,CZ,27.0,36.0,15.0,7.0,5.0,6.0,3.0,1.0,0.872,0.583,0.511,0.287,0.029,0.043,0.98
Congo,AF,CD,59.5,21.3,15.2,2.4,1.0,0.3,0.2,0.1,0.984,0.685,0.674,0.123,0.01,0.018,0.99
Denmark,EU,DK,35.0,37.0,8.0,4.0,6.0,7.0,2.0,1.0,0.866,0.643,0.555,0.32,0.049,0.049,0.99
Dominican Republic,SA,DO,46.2,26.4,16.9,3.1,3.7,2.1,1.4,0.2,0.931,0.63,0.587,0.295,0.047,0.047,0.94
Ecuador,SA,EC,75.0,14.0,7.1,0.5,2.38,0.7,0.3,0.02,0.967,0.802,0.775,0.471,0.028,0.071,0.99
Egypt,AF,EG,52.0,24.0,12.4,3.8,5.0,2.0,0.6,0.2,0.928,0.672,0.625,0.158,0.029,0.029,0.97
El Salvador,SA,SV,62.0,23.0,11.0,1.0,1.0,1.0,0.7,0.3,0.971,0.706,0.683,0.148,0.007,0.022,0.98
Ethiopia,AF,ET,39.0,28.0,21.0,5.0,3.0,2.0,1.0,1.0,0.935,0.593,0.553,0.087,0.002,0.013,1.0
Finland,EU,FI,28.0,35.0,16.0,7.0,5.0,6.0,2.0,1.0,0.88,0.584,0.515,0.127,0.007,0.019,0.98
France,EU,FR,36.0,37.0,9.0,3.0,6.0,7.0,1.0,1.0,0.872,0.647,0.561,0.251,0.007,0.038,0.99
Germany,EU,DE,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0,0.872,0.637,0.555,0.23,0.022,0.034,0.99
